"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","90-94 Years","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and Over","85 Years and Over","90 Years and Over","95 Years and Over","Median Age (Years)","Total All Ages"
"1991Q1",60580,58720,57120,56030,53100,53030,52230,51540,51150,51390,52650,52180,50940,50950,53600,53570,56340,58410,59950,61830,61050,59580,57790,55130,54170,53830,54740,57710,59560,59910,58970,57660,56530,54940,54110,53020,51660,50540,49720,48900,48870,48680,49070,48940,48150,42000,39100,37370,36000,38590,38060,34300,32650,31210,30320,29030,28690,28330,28900,29060,30270,29690,29180,28730,28710,27940,27240,25920,25230,24930,24230,21300,19250,18550,18920,17190,17130,15620,14700,13020,11730,10530,9620,8120,7130,6220,5100,4330,3520,2880,2380,1690,1330,1030,770,285550,259330,260310,290090,287720,285760,282210,253840,243700,193060,166550,144010,146570,131240,102240,77650,47120,22050,805200,858800,973500,1095300,1399600,1836400,2146900,893900,2293500,2682800,2629200,2514500,2392700,7200,535800,389300,155800,78100,31000,8980,1770,31.3,3488000
"1991Q2",60860,59280,57360,56410,53300,53250,52490,51920,50990,51230,52680,52010,51660,50640,53130,53540,55530,58160,59340,61440,61610,59130,57650,55580,54160,53250,54300,57330,58800,60110,59360,57920,57560,54780,54370,53350,51800,51290,49510,49260,48680,49040,48690,49020,49400,41850,40210,38450,35020,38650,38250,35550,32640,31360,30530,29340,28500,28420,28680,28850,30070,29640,29100,29190,28350,27850,27550,25860,25230,25050,23690,22810,19010,18460,18710,17470,16890,16010,14610,13290,11680,10640,9680,8270,7110,6220,5190,4410,3580,2920,2390,1780,1310,1080,770,287210,259870,260130,288020,288130,283780,283990,255210,244820,194170,168340,143790,146350,131540,102680,78260,47380,22320,807200,860800,974500,1095200,1399100,1838100,2150300,897500,2296600,2687900,2634300,2520700,2399900,7320,537600,391300,157100,78800,31400,9110,1790,31.4,3495100
"1991Q3",60620,59750,57820,56970,54120,53430,52660,51920,51300,51000,52690,51920,52110,50600,52620,53380,55290,57340,58850,61100,61960,59090,58110,55770,54390,53250,54100,56340,58830,59780,59820,58260,57650,55460,54450,53780,52280,51600,49650,49610,48850,48940,48590,49180,49740,43290,41090,38390,35490,38070,38260,36420,33270,31840,30620,29800,28270,28600,28420,28690,29950,29670,29180,29020,28500,27980,27340,26160,25180,25080,23700,24120,18370,18600,18330,17840,16500,16170,14700,13560,11620,10690,9740,8460,7120,6280,5250,4360,3590,2940,2420,1800,1300,1060,790,289280,260300,259930,285970,289330,282290,285640,256910,245310,196320,170420,143780,146320,131730,103110,78760,47630,22420,809500,862900,975500,1095500,1400100,1841800,2156000,902100,2302300,2695100,2641800,2529100,2409200,7380,539200,392800,158000,79200,31600,9180,1810,31.4,3504600
"1991Q4",60450,59980,58440,57070,55110,53300,52890,52150,51460,51340,51940,52330,52110,50800,51600,53820,54310,56900,58500,60430,61580,59660,58630,56530,54610,53740,53860,56020,58880,59770,59970,59040,57440,56340,54480,54370,52370,51850,49900,49920,48590,49170,48530,49430,49210,45970,41680,38680,36080,37260,38090,37140,34060,32060,30910,30190,28290,28770,28130,28710,29340,29870,29140,29180,28210,28220,27260,26450,25330,24860,23830,24020,19240,18780,18080,18070,16320,16260,14760,13770,11740,10920,9620,8730,7080,6390,5320,4410,3630,3010,2410,1890,1320,1080,790,291050,261140,258770,283950,291020,282270,287270,258410,244930,199660,172260,144090,145730,132130,103950,79180,48080,22760,811000,864800,976000,1094900,1402900,1847500,2163900,906700,2309600,2705000,2651200,2540000,2421100,7490,541100,395400,159300,80200,32100,9320,1830,31.5,3516000
"1992Q1",60410,60520,58760,57190,56120,53160,53120,52310,51620,51230,51490,52780,52310,51120,51130,53870,53860,56510,58350,59870,61410,60240,58520,56970,54670,53990,53870,55050,58120,59970,60240,59240,57800,56720,55090,54240,53100,51760,50630,49830,48980,48980,48780,49130,49000,48170,41970,39060,37330,35910,38500,37940,34200,32530,31090,30200,28830,28500,28120,28680,28780,30000,29350,28830,28300,28180,27410,26690,25350,24650,24290,23520,20640,18620,17840,18210,16420,16340,14790,13830,12150,10850,9690,8760,7320,6390,5500,4440,3730,2990,2430,1990,1350,1080,830,293010,261440,258830,282480,291810,281000,289090,259550,244880,202440,174260,144320,145260,132290,104900,79580,48770,23050,813300,867200,977500,1095800,1403900,1851200,2169800,911200,2315100,2713200,2659400,2549000,2430800,7670,543400,398100,160900,81400,32600,9550,1880,31.6,3526500
"1992Q2",59400,60770,59260,57380,56490,53350,53290,52530,51950,51050,51310,52790,52130,51810,50800,53340,53810,55730,58160,59240,61030,60750,58050,56870,55150,54050,53310,54530,57690,59200,60430,59660,58060,57710,54910,54460,53410,51890,51410,49630,49350,48770,49140,48750,49070,49430,41830,40140,38390,34930,38550,38130,35440,32520,31250,30370,29150,28260,28220,28450,28600,29810,29280,28720,28760,27870,27320,27030,25260,24650,24420,22970,22100,18370,17740,18000,16700,16110,15130,13770,12420,10810,9800,8810,7440,6360,5530,4490,3800,3040,2440,2000,1440,1050,860,293300,262170,258840,280280,291850,278780,290760,260800,245090,204710,175890,144460,145160,132130,105600,79710,49290,23210,814300,867700,977200,1094600,1402500,1852300,2172600,915300,2317800,2717400,2664000,2554500,2437100,7790,544800,399600,161900,82200,32900,9660,1880,31.7,3531700
"1992Q3",58850,60490,59730,57750,57010,54180,53440,52670,51960,51340,51060,52790,52010,52240,50770,52830,53660,55370,57400,58750,60750,61080,58040,57280,55220,54120,53330,54310,56700,59200,60110,60120,58430,57750,55550,54570,53900,52370,51700,49750,49710,48910,49040,48650,49220,49770,43250,41010,38330,35400,37980,38130,36300,33170,31730,30490,29610,28040,28370,28180,28430,29650,29340,28780,28560,27980,27420,26830,25580,24570,24430,22980,23390,17750,17900,17610,17040,15720,15320,13860,12660,10760,9800,8860,7590,6380,5560,4540,3770,3020,2430,2010,1440,1040,840,293840,263580,258870,278010,292360,277660,291960,262290,245530,207770,177310,144690,144750,132370,106440,79550,49660,23270,816300,869100,978200,1094300,1402300,1855600,2177600,920100,2322300,2723300,2670500,2561400,2445300,7770,545700,401000,162100,82600,32900,9660,1890,31.8,3539600
