"theDate","Label1","Deaths","Population","percapita","standardpop","ASM"
2010-12-29,"30 to 59",8.28571428571429,1759028.04347826,4.71039351330085e-06,2090920,9.84905600483101
2010-12-30,"30 to 59",8.53061224489796,1759044.02173913,4.84957291544297e-06,2090920,10.140069000358
2010-12-31,"30 to 59",8.77551020408163,1759060,4.98874978913831e-06,2090920,10.4310767091051
2011-01-01,"30 to 59",9.02040816326531,1759065,5.12795613764432e-06,2090920,10.7221460473233
2011-01-02,"30 to 59",9.26530612244898,1759070,5.26716169478701e-06,2090920,11.013213730864
2011-01-03,"30 to 59",9.51020408163265,1759075,5.40636646057312e-06,2090920,11.3042797597415
2011-01-04,"30 to 59",9.75510204081633,1759080,5.5455704350094e-06,2090920,11.5953441339698
2011-01-05,"30 to 59",10,1759085,5.68477361810259e-06,2090920,11.8864068535631
2011-01-06,"30 to 59",10.0612244897959,1759090,5.7195620973321e-06,2090920,11.9591467805536
2011-01-07,"30 to 59",10.1224489795918,1759095,5.7543503787981e-06,2090920,12.0318862940365
2011-01-08,"30 to 59",10.1836734693878,1759100,5.78913846250228e-06,2090920,12.1046253940153
2011-01-09,"30 to 59",10.2448979591837,1759105,5.82392634844633e-06,2090920,12.1773640804934
2011-01-10,"30 to 59",10.3061224489796,1759110,5.85871403663193e-06,2090920,12.2501023534744
2011-01-11,"30 to 59",10.3673469387755,1759115,5.89350152706077e-06,2090920,12.3228402129619
2011-01-12,"30 to 59",10.4285714285714,1759120,5.92828881973454e-06,2090920,12.3955776589594
2011-01-13,"30 to 59",10.3061224489796,1759125,5.85866407957342e-06,2090920,12.2499978972617
2011-01-14,"30 to 59",10.1836734693878,1759130,5.78903973520306e-06,2090920,12.1044189631308
2011-01-15,"30 to 59",10.0612244897959,1759135,5.71941578662008e-06,2090920,11.9588408565597
2011-01-16,"30 to 59",9.93877551020408,1759140,5.64979223382112e-06,2090920,11.8132635775413
2011-01-17,"30 to 59",9.81632653061224,1759145,5.58016907680279e-06,2090920,11.6676871260685
2011-01-18,"30 to 59",9.69387755102041,1759150,5.51054631556172e-06,2090920,11.5221115021343
2011-01-19,"30 to 59",9.57142857142857,1759155,5.44092395009455e-06,2090920,11.3765367057317
2011-01-20,"30 to 59",9.6734693877551,1759160,5.49891390649805e-06,2090920,11.4977890653749
2011-01-21,"30 to 59",9.77551020408163,1759165,5.55690353325676e-06,2090920,11.6190407357572
2011-01-22,"30 to 59",9.87755102040816,1759170,5.61489283037351e-06,2090920,11.7402917168846
2011-01-23,"30 to 59",9.97959183673469,1759175,5.67288179785109e-06,2090920,11.8615420087628
2011-01-24,"30 to 59",10.0816326530612,1759180,5.73087043569233e-06,2090920,11.9827916113978
2011-01-25,"30 to 59",10.1836734693878,1759185,5.78885874390002e-06,2090920,12.1040405247954
2011-01-26,"30 to 59",10.2857142857143,1759190,5.84684672247698e-06,2090920,12.2252887489616
2011-01-27,"30 to 59",10.469387755102,1759195,5.95123778495394e-06,2090920,12.4435621093159
2011-01-28,"30 to 59",10.6530612244898,1759200,6.05562825403013e-06,2090920,12.6618342289167
2011-01-29,"30 to 59",10.8367346938776,1759205,6.16001812971061e-06,2090920,12.8801051077745
